module_id,code,msg,isCalc,video_url
1009442,0,success,True,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1009442&question=4.%E4%B8%80%E4%B8%AA%E9%95%BF%E6%96%B9%E4%BD%93%E6%B0%B4%E7%AE%B1%2C%E9%95%BF10+dm%E3%80%81%E5%AE%BD6+dm%2C%E6%B0%B4%E6%B7%B14.5+dm%2C%E5%BD%93%E6%8A%8A%E4%B8%80%E5%9D%97%E7%9F%B3%E5%A4%B4%E6%94%BE%E5%85%A5%E6%B0%B4%E7%AE%B1%E5%90%8E%28%E5%AE%8C%E5%85%A8%E6%B5%B8%E6%B2%A1%29%2C%E6%B0%B4%E4%BD%8D%E4%B8%8A%E5%8D%87%E5%88%B07+dm%28%E6%B0%B4%E6%9C%AA%E6%BA%A2%E5%87%BA%29%E3%80%82%E8%BF%99%E5%9D%97%E7%9F%B3%E5%A4%B4%E7%9A%84%E4%BD%93%E7%A7%AF%E6%98%AF%E5%A4%9A%E5%B0%91%3F%286%E5%88%86%29
,0,success,False,
,0,success,False,
,0,success,False,
1009487,0,success,True,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1009487&question=3.%E6%8A%8A%E4%B8%80%E5%9D%97%E7%8F%8A%E7%91%9A%E7%9F%B3%E6%94%BE%E8%BF%9B%E4%B8%80%E4%B8%AA%E6%9C%89%E6%B0%B4%E7%9A%84%E5%AE%B9%E5%99%A8%E4%B8%AD%EF%BC%8C%E5%AE%8C%E5%85%A8%E6%B5%B8%E6%B2%A1%EF%BC%8C%E6%B0%B4%E5%B9%B3%E4%B8%8A%E5%8D%87%E4%BA%863dm%EF%BC%8C%E5%AE%B9%E5%99%A8%E7%9A%84%E5%BA%95%E9%9D%A2%E7%A7%AF%E6%98%AF48dm%5E2%EF%BC%8C%E8%BF%99%E5%9D%97%E7%8F%8A%E7%91%9A%E7%9F%B3%E7%9A%84%E4%BD%93%E7%A7%AF%E6%98%AF%E5%A4%9A%E5%A4%A7%3F%286%E5%88%86%29
1009705,0,success,True,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1009705&question=%E5%BE%80%E4%B8%80%E4%B8%AA%E9%95%BF30%E5%8E%98%E7%B1%B3%EF%BC%8C%E5%AE%BD20%E5%8E%98%E7%B1%B3%EF%BC%8C%E6%B7%B115%E5%8E%98%E7%B1%B3%E7%9A%84%E6%B0%B4%E7%AE%B1%E5%86%85%E5%80%92%E5%85%A53%E5%8D%87%E6%B0%B4%EF%BC%8C%E8%BF%99%E6%97%B6%E6%B0%B4%E9%9D%A2%E7%A6%BB%E7%AE%B1%E5%8F%A3%E8%BF%98%E6%9C%89%E5%A4%9A%E5%B0%91%E5%88%86%E7%B1%B3%EF%BC%9F
,0,success,False,
1009425,0,success,True,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1009425&question=%E4%B8%80%E4%B8%AA%E9%95%BF%E6%96%B9%E4%BD%93%E5%BD%A2%E7%8A%B6%E7%9A%84%E8%93%84%E6%B0%B4%E6%B1%A0%EF%BC%8C%E9%95%BF5m%EF%BC%8C%E5%AE%BD4m%EF%BC%8C%E9%AB%982.5m%E3%80%82%E8%A6%81%E7%BB%99%E6%B1%A0%E5%BA%95%E5%92%8C%E5%9B%9B%E5%A3%81%E6%8A%B9%E4%B8%8A%E6%B0%B4%E6%B3%A5%EF%BC%8C%E5%A6%82%E6%9E%9C%E6%AF%8F%E5%B9%B3%E6%96%B9%E7%B1%B3%E7%94%A8%E6%B0%B4%E6%B3%A520.4kg%EF%BC%8C%E4%B8%80%E5%85%B1%E8%A6%81%E7%94%A8%E6%B0%B4%E6%B3%A5%E5%A4%9A%E5%B0%91%E5%8D%83%E5%85%8B%EF%BC%9F
1009431,0,success,True,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1009431&question=2%E3%80%81%E4%B8%80%E4%B8%AA%E6%97%A0%E7%9B%96%E7%9A%84%E9%95%BF%E6%96%B9%E5%BD%A2%E9%B1%BC%E7%BC%B8%EF%BC%8C%E9%95%BF0.4%E7%B1%B3%E3%80%81%E5%AE%BD0.25%E7%B1%B3%E3%80%81%E6%B7%B10.3%E7%B1%B3%EF%BC%8C%E5%81%9A%E8%BF%99%E5%8F%AA%E9%B1%BC%E7%BC%B8%E8%87%B3%E5%B0%91%E8%A6%81%E7%94%A8%E7%8E%BB%E7%92%83%E5%A4%9A%E5%B0%91%E5%B9%B3%E6%96%B9%E7%B1%B3%EF%BC%9F
,0,success,False,
