status_code,code,msg,trace_id,origin_question,is_calc,video_url,pre_process_res,result,full_url
200,0,success,436f2c8cc11aa62b,102×57=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=102&num2=57&op=%C3%97&relSym=%3D&validLen=0&sum=102%C3%9757%3D,"{""calc"":true,""num1"":""102"",""op"":""×"",""num2"":""57"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""5814"",""circLen"":0}",5814,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=102%C3%9757%3D
200,0,success,43d74e1cbcccb053,12×98+2×98=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=12%C3%9798%2B2%C3%9798%3D&validLen=0,"{""sum"":""$$12 \times 98+2 \times 98$$""}",$$1372$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=12%C3%9798%2B2%C3%9798%3D
200,30004,python接口状态码异常,0c79e4a94d78e9b8,555555555×999999999=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=555555555%C3%97999999999%3D
200,0,success,0e21ecf6191a8a5c,126×5+74×5=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=126%C3%975%2B74%C3%975%3D&validLen=0,"{""sum"":""$$126 \times 5+74 \times 5$$""}",$$1000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=126%C3%975%2B74%C3%975%3D
200,0,success,2952a5653b8807f3,4×(25×65+25×28)=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=4%C3%97%2825%C3%9765%2B25%C3%9728%29%3D&validLen=0,"{""sum"":""$$4 \times (25 \times 65+25 \times 28)$$""}",$$9300$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=4%C3%97%2825%C3%9765%2B25%C3%9728%29%3D
200,0,success,6173304fb382ef65,9×29+9=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9%C3%9729%2B9%3D&validLen=0,"{""sum"":""$$9 \times 29+9$$""}",$$270$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9%C3%9729%2B9%3D
200,0,success,590f9f7f6a6afe5a,73×6868-68×7373=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=73%C3%976868-68%C3%977373%3D&validLen=0,"{""sum"":""$$73 \times 6868-68 \times 7373$$""}",$$0$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=73%C3%976868-68%C3%977373%3D
200,0,success,4c8dfd81a415197f,9999×7778+3333×6666=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9999%C3%977778%2B3333%C3%976666%3D&validLen=0,"{""sum"":""$$9999 \times 7778+3333 \times 6666$$""}",$$99990000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9999%C3%977778%2B3333%C3%976666%3D
200,0,success,7c5874eb922157c7,65×98=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=65&num2=98&op=%C3%97&relSym=%3D&validLen=0&sum=65%C3%9798%3D,"{""calc"":true,""num1"":""65"",""op"":""×"",""num2"":""98"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""6370"",""circLen"":0}",6370,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=65%C3%9798%3D
200,0,success,31fb2326fdb215f6,91×31-91=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=91%C3%9731-91%3D&validLen=0,"{""sum"":""$$91 \times 31-91$$""}",$$2730$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=91%C3%9731-91%3D
200,0,success,03e7ccd7c2a629eb,9×37+9×63=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9%C3%9737%2B9%C3%9763%3D&validLen=0,"{""sum"":""$$9 \times 37+9 \times 63$$""}",$$900$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9%C3%9737%2B9%C3%9763%3D
200,0,success,20f376b4656863e4,398×7=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=398&num2=7&op=%C3%97&relSym=%3D&validLen=0&sum=398%C3%977%3D,"{""calc"":true,""num1"":""398"",""op"":""×"",""num2"":""7"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""2786"",""circLen"":0}",2786,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=398%C3%977%3D
200,30004,python接口状态码异常,176c537eca3c4f8e,42×137-80÷15+58×138-70÷15=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=42%C3%97137-80%C3%B715%2B58%C3%97138-70%C3%B715%3D
200,0,success,4fb0a3ea39dd5ce9,81×25-25=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=81%C3%9725-25%3D&validLen=0,"{""sum"":""$$81 \times 25-25$$""}",$$2000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=81%C3%9725-25%3D
200,0,success,70bc27c130c22374,125×112+125-125×13=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=125%C3%97112%2B125-125%C3%9713%3D&validLen=0,"{""sum"":""$$125 \times 112+125-125 \times 13$$""}",$$12500$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=125%C3%97112%2B125-125%C3%9713%3D
200,30004,python接口状态码异常,5a8a522a56d6b56d,365×455-211×455-211×545+545×365=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=365%C3%97455-211%C3%97455-211%C3%97545%2B545%C3%97365%3D
200,0,success,5e189485378904ce,9999×7778+3333×6666=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9999%C3%977778%2B3333%C3%976666%3D&validLen=0,"{""sum"":""$$9999 \times 7778+3333 \times 6666$$""}",$$99990000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9999%C3%977778%2B3333%C3%976666%3D
200,0,success,6e54ea7bdb0e31dd,85×102=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=85&num2=102&op=%C3%97&relSym=%3D&validLen=0&sum=85%C3%97102%3D,"{""calc"":true,""num1"":""85"",""op"":""×"",""num2"":""102"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""8670"",""circLen"":0}",8670,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=85%C3%97102%3D
200,0,success,255cce9791c395ae,365×127-27×365=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=365%C3%97127-27%C3%97365%3D&validLen=0,"{""sum"":""$$365 \times 127-27 \times 365$$""}",$$36500$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=365%C3%97127-27%C3%97365%3D
200,30004,python接口状态码异常,0ba24914025a353a,2019²-2020×2018=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=2019%C2%B2-2020%C3%972018%3D
200,0,success,175c29976647d7a6,9999×2222+3333×3334=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9999%C3%972222%2B3333%C3%973334%3D&validLen=0,"{""sum"":""$$9999 \times 2222+3333 \times 3334$$""}",$$33330000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9999%C3%972222%2B3333%C3%973334%3D
200,30004,python接口状态码异常,4021336c6cbc7963,987654321×987654324-987654323×987654322=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=987654321%C3%97987654324-987654323%C3%97987654322%3D
200,0,success,0580b05c01daea6d,1002×1002=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=1002&num2=1002&op=%C3%97&relSym=%3D&validLen=0&sum=1002%C3%971002%3D,"{""calc"":true,""num1"":""1002"",""op"":""×"",""num2"":""1002"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""1004004"",""circLen"":0}",1004004,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=1002%C3%971002%3D
200,0,success,585cde718d113186,9×29+9=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=9%C3%9729%2B9%3D&validLen=0,"{""sum"":""$$9 \times 29+9$$""}",$$270$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9%C3%9729%2B9%3D
200,0,success,1986f675e0105cb7,48×31=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=48&num2=31&op=%C3%97&relSym=%3D&validLen=0,"{""calc"":true,""num1"":""48"",""op"":""×"",""num2"":""31"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""1488"",""circLen"":0}",1488,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=48%C3%9731%3D
