status_code,code,msg,trace_id,origin_question,is_calc,video_url,pre_process_res,result,full_url
200,0,success,3c34a18fa629062b,5/7-5/9×5/7=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=5%2F7-5%2F9%C3%975%2F7%3D&validLen=0,"{""sum"":""$$\frac{5}{7}-\frac{5}{9} \times \frac{5}{7}$$""}",$$\frac{20}{63}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=5/7-5/9%C3%975/7%3D
200,0,success,34f0d55ff133a791,31×5/6-5/6=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=31%C3%975%2F6-5%2F6%3D&validLen=0,"{""sum"":""$$31 \times \frac{5}{6}-\frac{5}{6}$$""}",$$25$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=31%C3%975/6-5/6%3D
200,0,success,68c2e6c8cf2dbe62,（28-3/4)×(4/7)=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=%EF%BC%8828-3%2F4%29%C3%97%284%2F7%29%3D&validLen=0,"{""sum"":""$$(28-\frac{3}{4}) \times \frac{4}{7}$$""}",$$15\frac{4}{7}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%EF%BC%8828-3/4%29%C3%97%284/7%29%3D
200,0,success,42fcc9dc25bf6b7e,8/9×4/5+8/9×1/5=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=8%2F9%C3%974%2F5%2B8%2F9%C3%971%2F5%3D&validLen=0,"{""sum"":""$$\frac{8}{9} \times \frac{4}{5}+\frac{8}{9} \times \frac{1}{5}$$""}",$$\frac{8}{9}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=8/9%C3%974/5%2B8/9%C3%971/5%3D
200,0,success,3cc10ab8ff88079e,5/6×5/9+5/9×1/6=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=5%2F6%C3%975%2F9%2B5%2F9%C3%971%2F6%3D&validLen=0,"{""sum"":""$$\frac{5}{6} \times \frac{5}{9}+\frac{5}{9} \times \frac{1}{6}$$""}",$$\frac{5}{9}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=5/6%C3%975/9%2B5/9%C3%971/6%3D
200,0,success,7da82ca4fb94bae9,87×3/86=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=87%C3%973%2F86%3D&validLen=0,"{""sum"":""$$87 \times \frac{3}{86}$$""}",$$3\frac{3}{86}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=87%C3%973/86%3D
200,0,success,5e4da3043531c13a,8/11×8/7-8/11×1/7=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=8%2F11%C3%978%2F7-8%2F11%C3%971%2F7%3D&validLen=0,"{""sum"":""$$\frac{8}{11} \times \frac{8}{7}-\frac{8}{11} \times \frac{1}{7}$$""}",$$\frac{8}{11}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=8/11%C3%978/7-8/11%C3%971/7%3D
200,0,success,03133d7c197e12cf,24×(5/6-3/4)+6=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=24%C3%97%285%2F6-3%2F4%29%2B6%3D&validLen=0,"{""sum"":""$$24 \times (\frac{5}{6}-\frac{3}{4})+6$$""}",$$8$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=24%C3%97%285/6-3/4%29%2B6%3D
200,0,success,58a5b64629ec2743,(5/7+3/13)×7-21÷13=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=%285%2F7%2B3%2F13%29%C3%977-21%C3%B713%3D&validLen=0,"{""sum"":""$$(\frac{5}{7}+\frac{3}{13}) \times 7-21 \div 13$$""}",$$5$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%285/7%2B3/13%29%C3%977-21%C3%B713%3D
200,30004,python接口状态码异常,499f35b0f6c02f38,(2/51+5/81)×9×17=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%282/51%2B5/81%29%C3%979%C3%9717%3D
200,0,success,2d844c57f2f03fca,(2/3+1/4)×6=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=%282%2F3%2B1%2F4%29%C3%976%3D&validLen=0,"{""sum"":""$$(\frac{2}{3}+\frac{1}{4}) \times 6$$""}",$$5\frac{1}{2}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%282/3%2B1/4%29%C3%976%3D
200,0,success,014d0a715bea92d3,(1/15+1/5)×15=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=%281%2F15%2B1%2F5%29%C3%9715%3D&validLen=0,"{""sum"":""$$(\frac{1}{15}+\frac{1}{5}) \times 15$$""}",$$4$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%281/15%2B1/5%29%C3%9715%3D
